,label,qid,track,start,end,score,desc
0,Archilochus,Q201323,0,-680,-645,51,Ancient Greek lyric poet
1,Ashurbanipal,Q171191,1,-685,-631,73,Assyrian ruler
2,Draco (legislator),Q28626,2,-650,-600,54,first legislator of Athens in Ancient Greece
3,Necho II,Q125102,3,-700,-595,44,2nd Egyptian pharaoh of the 26th dynasty
4,Psamtik II,Q373521,4,-700,-589,40,3rd Egyptian pharaoh of the 26th dynasty
5,Apries,Q349291,5,-650,-567,39,4th Egyptian pharaoh of the 26th dynasty
6,Aesop,Q43423,6,-620,-564,105,ancient Greek storyteller (619 BC–563 BC)
7,Nebuchadnezzar II,Q12591,7,-642,-561,89,King of Babylon
8,Alcaeus,Q212872,8,-630,-560,48,Greek lyric poet
9,Solon,Q133337,9,-638,-558,79,Athenian legislator
10,Stesichorus,Q332797,10,-630,-555,35,6th-century BCE Greek lyric poet
11,Zoroaster,Q35811,11,-628,-551,123,founder of Zoroastrianism
12,Sappho,Q17892,12,-650,-550,112,ancient Greek poet from Lesbos (c. 630-c. 570 BC)
13,Thales of Miletus,Q36303,13,-650,-548,117,ancient Greek philosopher and mathematician
14,Anaximander,Q42458,14,-620,-547,87,pre-Socratic Greek philosopher
15,Nabonidus,Q239414,15,-615,-538,48,king of Babylon
16,Cyrus the Great,Q8423,16,-600,-530,135,founder of the Achaemenid Empire (559–529 BC)
17,Mahavira,Q9422,17,-599,-527,81,"24th Tirthankara of Jainism, promoter of non-violence, truth, and celibacy"
18,Amasis II,Q312045,18,-610,-526,46,Egyptian pharaoh from 570 to 526 BC
19,Anaximenes of Miletus,Q80612,19,-585,-525,78,Greek Ionian Pre-Socratic philosopher (c.586–c.526 BC)
20,Cambyses II,Q182483,20,-559,-522,69,The second Achaemenid emperor (530–522 BC)
21,Lucius Junius Brutus,Q223440,21,-540,-509,39,Semi-legendary 6th-century BC founder of Roman Republic
22,Laozi,Q9333,22,-604,-500,153,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism"
23,Ānanda,Q28988,23,-600,-500,52,Attendant of the Buddha and main figure in First Buddhist Council
24,Sushruta,Q383027,24,-600,-500,47,"ancient Indian physician, father of surgery"
25,Himilco,Q458365,25,-550,-500,31,Carthaginian explorer
26,Sun Tzu,Q37151,26,-544,-496,112,6th century BCE Chinese general and military strategist
27,Lucius Tarquinius Superbus,Q193047,27,-600,-495,57,king of Rome from 535 to 509 BC
28,Cleisthenes,Q207634,28,-565,-492,58,late 6th century Athenian politician and reformer
29,Pythagoras,Q10261,29,-550,-490,160,Greek philosopher and mathematician (c. 570 – c. 495 BC)
30,Miltiades,Q210350,30,-550,-489,49,Greek Athenian statesman and general (c.550–489 BC)
31,Darius the Great,Q44387,31,-550,-486,99,The fourth and greatest Achaemenid emperor (522–486 BC)
32,Anacreon,Q213484,32,-570,-485,55,"ancient Greek lyric poet, notable for his drinking songs and hymns"
33,Śāriputra,Q320142,33,-568,-484,46,chief disciple of Gautama Buddha
34,The Buddha,Q9441,34,-563,-483,214,Indian philosopher and the founder of Buddhism (623 or 563 BCE – 543 or 483 BCE)
35,Confucius,Q4604,35,-552,-479,239,5th-century BCE Chinese philosopher and politician
36,Xenophanes,Q131671,36,-570,-478,73,Greek Pre-Socratic philosopher (c.570–c.478 BC)
37,Heraclitus,Q41155,37,-535,-470,97,Greek philosopher (late 6th/early 5th-century BC)
38,Parmenides,Q125551,38,-515,-470,86,late 6th/early 5th century BC Greek pre-Socratic philosopher
39,Simonides of Ceos,Q273003,39,-556,-468,44,Greek lyric poet (c. 556–468 BC)
40,Xerxes I,Q129165,40,-519,-465,84,The fifth Achaemenid emperor (486–465 BC)
