2NE1	Q171885	UNKNOWN	ALIVE	53	South Korean girl group
50 Cent	Q6060	1975	ALIVE	102	American rapper (born 1975)
Aaliyah	Q11617	1979	2001	66	American R&B singer (1979–2001)
Aarathi	Q4661683	1954	ALIVE	15	Indian actress
Hank Aaron	Q215777	1934	2021	53	American baseball player (1934–2021)
Sani Abacha	Q207942	1943	1998	57	Nigerian military ruler (1943-1998)
Pacita Abad	Q466654	1946	2004	24	painter (1946-2004)
Frank Abagnale	Q116774	1948	ALIVE	46	American security consultant, former confidence trickster, check forger, impostor, and escape artist
Abaoji	Q4989	872	926	28	Emperor of the Khitans and founder of the Liao dynasty (872-926)
Claudio Abbado	Q151608	1933	2014	60	Italian conductor (1933–2014)
Abbas ibn Abd al-Muttalib	Q293599	568	653	58	Paternal uncle of Muhammad (c.565–c.653)
Abbas ibn Firnas	Q305975	810	887	56	9th century astronomer and physician
Ferhat Abbas	Q193043	1899	1985	53	Algerian politician (1899-1985), President of Provisional Government of Algeria, president of the National Constitutional Assembly of Algeria
Khwaja Ahmad Abbas	Q559774	1914	1987	38	film director, screenwriter, novelist, and journalist (1914–1987)
Mahmoud Abbas	Q127998	1935	ALIVE	87	president of the Palestinian Authority since 2005
Reza Abbasi	Q380726	1565	1635	30	Persian painter (1565-1635)
Abbott and Costello	Q23679	UNKNOWN	ALIVE	34	American comedy duo
Bud Abbott	Q23888	1897	1974	43	American actor, producer and comedian (1897–1974)
Abd Allah ibn al-Zubayr	Q307665	624	692	54	historical Arab ruler (624-692)
Abd Allah ibn Umar ibn al-Khattab	Q2046261	610	693	41	Companion of Muhammad and authority in hadith and law (c.610-693)
Ibn al-Muqaffa'	Q1060637	724	840	30	8th-century Persian author and translator
Abdallah ibn Yasin	Q552693	UNKNOWN	1059	25	Theologian, founder of Almoravid movement
Ahmed Abdallah	Q401076	1919	1989	32	President of the Comoros from 1978 to 1989
Mohammed Abdel Wahab	Q467895	1898	1991	32	Egyptian singer, actor and composer (1896-1991)
Mohamed Abdelaziz (Sahrawi politician)	Q313797	1947	2016	32	Sahrawi politician
Abd el-Krim	Q202650	1882	1963	61	war leader and president of the Rif Republic from 1921 to 1926
Muhammad Abduh	Q311826	1849	1905	53	Egyptian Islamic jurist, religious scholar and liberal reformer (1849-1905)
Abdul Basit 'Abd us-Samad	Q308535	1927	1988	28	Quran reciter (1927–1988)
Abdul Halim of Kedah	Q57550	1927	2017	43	5th Yang di-Pertuan Agong and Sultan of Kedah
ʻAbdu'l-Bahá	Q216954	1844	1921	46	son of Bahá'u'lláh and leader of the Bahá'í Faith
Muhammed Said Abdulla	Q6932972	1918	1991	11	Tanzanian writer
Abdullah I of Jordan	Q192780	1882	1951	68	Ruler of Transjordan and Jordan from 1921 to 1951
Abdullah II of Jordan	Q57464	1962	ALIVE	99	King of the Hashemite Kingdom of Jordan
Abd Allah ibn Mas'ud	Q423557	594	653	39	companion of the Islamic prophet Muhammad (c.594-c.653)
Abdullah of Saudi Arabia	Q57298	1924	2015	98	King of Saudi Arabia from 2005 to 2015
Abdülmecid I	Q174772	1823	1861	72	31th Sultan of the Ottoman Empire (1839–1861)
Keiko Abe	Q253686	1937	ALIVE	25	Japanese composer and marimba player
Kōbō Abe	Q186273	1924	1993	58	Japanese writer, playwright, photographer and inventor
Sada Abe	Q264924	1905	UNKNOWN	28	20th-century Japanese murderer
Abebe Bikila	Q52596	1932	1973	60	Ethiopian double Olympic marathon champion
Zainul Abedin	Q2443222	1914	1976	20	Bengali painter (1914–1976)
Ralph Abernathy	Q545488	1926	1990	28	American civil rights activist and minister (1926–1990)
Abhinavagupta	Q320619	950	1020	36	Indian philosopher and writer (c.950–1016)
Abiy Ahmed	Q50365049	1976	ALIVE	84	Prime Minister of Ethiopia since 2018
Khachatur Abovian	Q313461	1805	1848	43	Armenian writer, activist, academic (1809-1848)
Isaac Abarbanel	Q319902	1437	1508	33	Portuguese-Spanish Jewish businessman, exegete and philosopher (1437-1508)
F. Murray Abraham	Q181936	1939	ALIVE	63	American actor (born 1939)
Harold Abrahams	Q380887	1899	1978	31	British sprinter (1899–1978)
Marina Abramović	Q47496	1946	ALIVE	59	Serbian performance artist (born 1946)
Roman Abramovich	Q171428	1966	ALIVE	60	Russian-Israeli oligarch and politician
Abrar-ul-Haq	Q331166	1968	ALIVE	10	Pakistani musician
Judah Leon Abravanel	Q467062	1460	1530	23	Portuguese Jewish philosopher, physician and poet
Alexei Abrikosov (physicist)	Q188128	1928	2017	80	Soviet, Russian and American theoretical physicist
Abu Abdallah al-Shi'i	Q334772	900	911	12	10th-century Iraqi Isma'ili missionary
Shireen Abu Akleh	Q12219365	1971	2022	49	Palestinian-American journalist (1971–2022)
