2NE1	Q171885
50 Cent	Q6060
Aaliyah	Q11617
Aarathi	Q4661683
Hank Aaron	Q215777
Sani Abacha	Q207942
Pacita Abad	Q466654
Frank Abagnale	Q116774
Abaoji	Q4989
Claudio Abbado	Q151608
Abbas ibn Abd al-Muttalib	Q293599
Abbas ibn Firnas	Q305975
Ferhat Abbas	Q193043
Khwaja Ahmad Abbas	Q559774
Mahmoud Abbas	Q127998
Reza Abbasi	Q380726
Abbott and Costello	Q23679
Bud Abbott	Q23888
Abd Allah ibn al-Zubayr	Q307665
Abd Allah ibn Umar ibn al-Khattab	Q2046261
Ibn al-Muqaffa'	Q1060637
Abdallah ibn Yasin	Q552693
Ahmed Abdallah	Q401076
Mohammed Abdel Wahab	Q467895
Mohamed Abdelaziz (Sahrawi politician)	Q313797
Abd el-Krim	Q202650
Muhammad Abduh	Q311826
Abdul Basit 'Abd us-Samad	Q308535
Abdul Halim of Kedah	Q57550
ʻAbdu'l-Bahá	Q216954
Muhammed Said Abdulla	Q6932972
Abdullah I of Jordan	Q192780
Abdullah II of Jordan	Q57464
Abd Allah ibn Mas'ud	Q423557
Abdullah of Saudi Arabia	Q57298
Abdülmecid I	Q174772
Keiko Abe	Q253686
Kōbō Abe	Q186273
Sada Abe	Q264924
Abebe Bikila	Q52596
Zainul Abedin	Q2443222
Ralph Abernathy	Q545488
Abhinavagupta	Q320619
Abiy Ahmed	Q50365049
Khachatur Abovian	Q313461
Isaac Abarbanel	Q319902
F. Murray Abraham	Q181936
Harold Abrahams	Q380887
Marina Abramović	Q47496
Roman Abramovich	Q171428
Abrar-ul-Haq	Q331166
Judah Leon Abravanel	Q467062
Alexei Abrikosov (physicist)	Q188128
Abu Abdallah al-Shi'i	Q334772
Shireen Abu Akleh	Q12219365
Abu al-Darda	Q1112739
Abu Dharr al-Ghifari	Q1029610
Abu Hurayra	Q69326
Abu Kamil	Q335103
Abu Mansur al-Maturidi	Q12827721
Abu Musa al-Ash'ari	Q335170
Abu Sufyan ibn Harb	Q335430
Abu Tammam	Q1750054
Abu Ubayda ibn al-Jarrah	Q747731
Mumia Abu-Jamal	Q156133
Lila Abu-Lughod	Q6547452
Abdulsalami Abubakar	Q262346
Abul Fazl	Q334752
Boy Abunda	Q4952054
Bella Abzug	Q464724
AC/DC	Q27593
Lucius Accius	Q311287
Vito Acconci	Q433471
Erik Acharius	Q365923
Advaita Acharya	Q1994479
Forrest J Ackerman	Q18227
Joan Acocella	Q6204798
John Dalberg-Acton, 1st Baron Acton	Q311778
Roy Acuff	Q455773
Mitsuru Adachi	Q351742
Adad-nirari II	Q311573
Red Adair	Q589905
Robert Adam	Q312635
Modibo Adama	Q959476
Giuseppe Adami	Q1528102
Salvatore Adamo	Q312610
Abigail Adams	Q206191
Amy Adams	Q481832
Brooks Adams	Q929695
Bryan Adams	Q482907
Douglas Adams	Q42
Gerry Adams	Q76139
Henry Adams	Q458390
John Adams	Q11806
John Adams (composer)	Q84114
John Quincy Adams	Q11816
Maude Adams	Q437509
Samuel Adams	Q212963
William Adams (samurai)	Q313866
Charles Addams	Q361106
Henry Addington	Q312577
Joseph Addison	Q206384
King Sunny Adé	Q982678
Adele	Q23215
Sheldon Adelson	Q319137
Wale Adenuga	Q7961665
Clément Ader	Q313078
Kemi Adetiba	Q18216886
Tomi Adeyemi	Q29418661
Adi ibn Zayd	Q12224537
Chimamanda Ngozi Adichie	Q230141
Kate Adie	Q595257
Aravind Adiga	Q296299
Isabelle Adjani	Q106383
David Adjaye	Q1173530
Alfred Adler	Q152393
Felix Adler (professor)	Q1386165
Guido Adler	Q78716
Polly Adler	Q542337
Stella Adler	Q32788
Adolphe, Grand Duke of Luxembourg	Q57302
Ferran Adrià	Q170317
Pope Adrian IV	Q132845
Adonis (poet)	Q380787
Endre Ady	Q211392
Scipio Aemilianus	Q2307
Aerosmith	Q126826
Aesop	Q43423
Æthelred the Unready	Q183499
Ben Affleck	Q483118
Michel Aflaq	Q355416
Kunle Afolayan	Q15981681
Afonso I of Kongo	Q383455
Afonso III of Portugal	Q295850
José Afonso	Q559269
Isaias Afwerki	Q57348
Aga Khan III	Q366213
Giorgio Agamben	Q311687
Andre Agassi	Q7407
Agastya	Q390857
Agathodaemon (alchemist)	Q19666011
James Agee	Q352963
Aglaonice	Q237867
Gianni Agnelli	Q356351
Giovanni Agnelli	Q315610
Maria Gaetana Agnesi	Q200392
Shmuel Yosef Agnon	Q133042
Giacomo Agostini	Q253450
Georgius Agricola	Q76579
Mikael Agricola	Q215346
Martin Agronsky	Q6774873
Agüeybaná II	Q14789082
Antonio Aguilar	Q1958523
Christina Aguilar	Q5110740
Freddie Aguilar	Q983329
Christina Aguilera	Q41594
Lope de Aguirre	Q529197
Johnson Aguiyi-Ironsi	Q379888
A-ha	Q156305
Bertie Ahern	Q154550
Ahmadou Ahidjo	Q298718
Ahl al-Bayt	Q385139
Ahmad Al-Jaber Al-Sabah	Q400907
Ahmad bin Yahya	Q400961
Ahmad bin Ali Al Thani	Q2827460
Ahmad ibn Tulun	Q374374
Mirza Ghulam Ahmad	Q312952
Mahmoud Ahmadinejad	Q34448
Ahmed III	Q199482
Nur Ahmed Aman	Q48724407
Iajuddin Ahmed	Q165672
Tajuddin Ahmad	Q2975772
Ahmose I	Q7222
Ahn Chang Ho	Q488735
Ahn Sahng-hong	Q626456
Martti Ahtisaari	Q29230
Ahuitzotl	Q351758
Ai Weiwei	Q160115
Ilse Aichinger	Q93514
Mohamed Farrah Aidid	Q319160
Ama Ata Aidoo	Q298224
Howard H. Aiken	Q299723
Roger Ailes	Q983981
Alvin Ailey	Q449037
Ben Ainslie	Q449073
Mary Ainsworth	Q242625
William Harrison Ainsworth	Q518359
Laurel Aitken	Q536566
Ivan Aivazovsky	Q181568
Nancy Ajram	Q774155
Chioma Ajunwa	Q239638
Isamu Akasaki	Q1673706
Akashi Motojiro	Q171418
Askar Akayev	Q489893
AKB48	Q51118
Naima Akef	Q3056176
Carl Akeley	Q1037711
George Akerlof	Q222541
Jonas Åkerlund	Q455370
Chantal Akerman	Q239823
Michelle Akers	Q232508
